date,text
22.09.2017," «Газпром» и НОВАТЭК могут принять участие в комплексном проекте по строительству газовой инфраструктуры и ТЭС на 2,4 ГВт в Марокко, а также в поставке газа на них, заявил министр энергетики РФ Александр Новак. По данным “Ъ”, обсуждение находится на ранней стадии, и, по мнению аналитиков, для Марокко ведение переговоров с Россией может быть способом повысить конкуренцию между будущими поставщиками СПГ."
18.09.2017," «Газпром» впервые с 2010 года вернет себе роль ключевого поставщика газа в Хорватию: он подписал с местной Prvo Plinarsko Drustvo d.o.o. (PDD) долгосрочный контракт на поставку 1 млрд кубометров в год до 2028 года. По мнению аналитиков, подписание столь долгосрочного контракта, нетипичного для европейского рынка в последние годы, отражает отсутствие ясных альтернатив российскому газу. Контракт почти полностью закроет потребности страны в импорте, что ставит под вопрос реализацию проекта СПГ-терминала на острове Крк, инвестрешение по которому должны принять в 2018 году."
13.09.2017," Сегодня Банк России опубликовал на своем сайте новый перечень системно значимых кредитных организаций. Как следует из пресс-релиза ЦБ, в список системно значимых банков включен Московский кредитный банк (МКБ). Теперь в этот перечень входит 11 банков, на долю которых приходится более 60% совокупных активов российского банковского сектора. Помимо МКБ, это Сбербанк, ВТБ, Россельхозбанк, Газпромбанк, «ФК Открытие», ЮниКредит Банк, Райффайзенбанк, Промсвязьбанк, Альфа-банк и Росбанк.
 «Газпром» после 11 месяцев переговоров договорился с турецкой госкомпанией Botas о создании СП для строительства сухопутного участка второй нитки «Турецкого потока». Но чтобы компания заработала, требуется заключить с Анкарой еще один протокол, а для этого необходимо разрешить спор с Botas по цене на газ, о чем сейчас идут активные переговоры. По мнению источников “Ъ”, пакетное соглашение, если его удастся достичь, может быть заключено до начала октября, когда спор «Газпрома» и Botas должен начать рассматривать Стокгольмский арбитраж."
12.09.2017," Интерес традиционной тепловой генерации к возобновляемым источникам энергии нарастает: о намерении построить 50 МВт ветроэлектростанций в Петербурге и Ленобласти объявила ТГК-1, входящая в «Газпром энергохолдинг». При этом ранее холдинг как дочерняя структура «Газпрома» к зеленой энергетике относился сдержанно. По мнению экспертов, интерес к ветропаркам будет расти, но ключевой вопрос — наличие производящегося в России специализированного оборудования: такие заводы тесно связаны с конкретными инвесторами в зеленую генерацию."
08.09.2017," «Газпром» и «Нафтогаз» ожидаемо не смогли договориться во внесудебном порядке о суммах взаимных претензий по контракту на поставку газа из РФ от 2009 года. Так что теперь решение будет принимать сам Стокгольмский арбитраж, где стороны ведут разбирательства с 2014 года. Ожидается, что это произойдет не позже ноября."
07.09.2017," Помощник президента России Андрей Белоусов заявил, что он будет рад в случае, если экс-канцлер Германии, председатель комитета акционеров компании Nord Stream AG Герхард Шредер возглавит совет директоров «Роснефти». Об этом сообщает корреспондент «Ведомостей» с Восточного экономического форума. Сейчас совет директоров «Роснефти» возглавляет сам Белоусов."
04.09.2017," «Роснефть» первой из крупных российских госкомпаний подтвердила в своей дивидендной политике выплату акционерам 50% чистой прибыли по МСФО. Правительство два года безуспешно пыталось добиться таких выплат от всех крупнейших игроков, но «Роснефть» подчинилась только после указания Владимира Путина. Другие ключевые госкомпании, такие как «Газпром» и «Транснефть», пока смогли избежать подобной участи."
31.08.2017," Выручка «Газпром-медиа» в первом полугодии росла вдвое медленнее рынка телерекламы — на 6%, до 40,6 млрд руб. Компания объясняет это передачей селлерского бизнеса в рекламный альянс с ВГТРК, «Первым каналом» и «Национальной Медиа Группой». Владелец и основной кредитор холдинга Газпромбанк влил в него дополнительные средства, выкупив допэмиссию номинальной стоимостью 19,2 млрд руб.
 Выручка «Газпром-медиа» в первом полугодии росла вдвое медленнее рынка телерекламы — на 6%, до 40,6 млрд руб. Компания объясняет это передачей селлерского бизнеса в рекламный альянс с ВГТРК, «Первым каналом» и «Национальной Медиа Группой». Владелец и основной кредитор холдинга Газпромбанк влил в него дополнительные средства, выкупив допэмиссию номинальной стоимостью 19,2 млрд руб."
21.08.2017," После ухода с поста канцлера ФРГ Ангела Меркель не собирается занимать какие-либо значимые должности в бизнесе. Она заявила это,  на вопросы сограждан в онлайн-трансляции журнала Bild. Она добавила, что ей не понравилось, как себя ведет ее предшественник Герхард Шредер. «Так не делают», – отметила она. Недавно Шредер получил предложение войти в совет директоров «Роснефти»,  вскоре после отставки с поста канцлера он перешел в Nord Stream AG, оператора газопровода «Северный поток», а в октябре 2016 г. возглавил его совет директоров."
17.08.2017," «Газпром» уверенно идет к новому абсолютному экспортному рекорду — по данным “Ъ”, в монополии рассчитывают поставить за рубеж по итогам года 185 млрд кубометров газа. Основные конкуренты «Газпрома» на европейском рынке — Норвегия, Алжир и поставщики сжиженного природного газа (СПГ) — тоже наращивают поставки, но меньшими темпами. В результате в первом полугодии, по расчетам “Ъ”, доля российского газа в потреблении ЕС увеличилась до 30,7%. Тем не менее резкое сокращение «азиатской премии» может привести к перенаправлению части СПГ из Азии в Европу, что осложнит для «Газпрома» удержание доли на рынке.
 Российские компании наращивают доли в крупнейшем сербском производителе нефтехимии HIP Petrohemija. «Газпром нефть» и ЛУКОЙЛ получили там 21% и 3% соответственно в результате конвертации долга HIP. При этом, говорят источники “Ъ”, в перспективе «Газпром нефть» может целиком выкупить завод. Эксперты считают такой вариант наиболее эффективным с учетом того, что HIP Petrohemija составляет фактически единый комплекс с сербским НПЗ «Газпром нефти».
 Российские компании наращивают доли в крупнейшем сербском производителе нефтехимии HIP Petrohemija. «Газпром нефть» и ЛУКОЙЛ получили там 21% и 3% соответственно в результате конвертации долга HIP. При этом, говорят источники “Ъ”, в перспективе «Газпром нефть» может целиком выкупить завод. Эксперты считают такой вариант наиболее эффективным с учетом того, что HIP Petrohemija составляет фактически единый комплекс с сербским НПЗ «Газпром нефти»."
16.08.2017," Градообразующее предприятие Инты АО «Интауголь» приостановлено до 10 октября из-за нехватки финансирования и средств для выплаты зарплат рабочим. Власти Коми надеются найти инвестора, который вложит в актив 3,5 млрд руб., но под вопросом само сохранение угольных блоков единственного покупателя угля компании, Череповецкой ГРЭС «Газпром энергохолдинга»."
14.08.2017," Как стало известно “Ъ”, у «Газпром нефти» возникли сложности с поставкой топлива в Шереметьево, «Аэрофлоту» даже пришлось включить резервную схему обеспечения. Участники рынка связывают проблемы с отменой процедуры обязательной сертификации ТЗК и лабораторий контроля качества авиакеросина. Текущие вопросы удалось решить в ночь на 12 августа, ситуация может быть обсуждена сегодня на совещании в Шереметьево. Отраслевые эксперты подчеркивают, что российское авиатопливо давно вызывает претензии иностранных авиакомпаний и для него необходимо вводить сертификационные требования."
10.08.2017," «Газпром» отрапортовал о 90-процентной загрузке газопровода Nord Stream, о 30-процентном росте поставок по отводу Opal и рекордных для лета поставках газа в Европу. Потребители ЕС действительно резко нарастили спрос на российский газ из-за опустевших зимой хранилищ и жаркой погоды сейчас. Но, отмечают источники “Ъ” на рынке, полная загрузка Opal и высокий уровень экспорта — заслуга не только потребителей «Газпрома»: существенные объемы газа компания сама закачивает в арендованные ПХГ в Европе.
 Учредители Индустриального комитета по телеизмерениям (ИКТ) готовят замену гендиректора: предполагается, что вместо бывшего топ-менеджера «СТС Медиа» Сергея Петрова его возглавит один из руководителей Национального рекламного альянса (НРА) Сергей Коптев. Крупнейшие телехолдинги создали ИКТ в 2014 году по инициативе возглавлявшего тогда «Газпром-медиа» Михаила Лесина. После того как сорвался проект комитета по выборам нового телеизмерителя, организация планировала сосредоточиться на контроле над этой отраслью."
07.08.2017," С оглядкой на успех турецкой телесаги «Великолепный век», обеспечившей рост рейтингов каналу «Домашний», входящая в «Газпром-медиа» киностудия КИТ готовит производство похожего телепроекта. Сериал «Султан моего сердца» будет сниматься для «Первого канала» вместе с турецкой Maya Productions и позиционируется как самый дорогой международный телепроект последних лет на российском рынке. Такие проекты редко оправдывают ожидания, отмечают конкуренты."
03.08.2017," Россия останется «надежным гарантом энергобезопасности своих потребителей, в том числе и в Европе», а маршруты для поставок газа будут выбираться из соображений экономической целесообразности, заявил пресс-секретарь Путина Дмитрий Песков. Как  ТАСС, так он прокомментировал публикацию «Ведомостей» о том, что «Газпром» увеличил транзит газа через трубопровод OPAL, принимающий на территории Германии газ из «Северного потока», при этом снизилась заявка на транзит российского газа через Украину в Словакию."
28.07.2017," Спустя полгода «Газпром» снова получил возможность бронировать почти все мощности газопровода Opal — одного из наземных отводов от Nord Stream. Суд в Дюссельдорфе вслед за Европейским судом снял обеспечительные меры, наложенные по иску Польши. Впрочем, локального успеха Варшава все равно добилась, хотя бы затянув для «Газпрома» доступ к Opal, что, по мнению экспертов, и было ее целью."
27.07.2017," Статьи Sports.ru, опубликованные на одном из ресурсов спортивного субхолдинга «Газпром-медиа», не могут быть защищены авторским правом из-за отсутствия в них оригинальности и новизны, следует из позиции холдинга, представленной в суд. Это создает возможность использования без ссылок практически любых текстов, подчеркивают в Sports.ru. Критически оценивают экспертизу и независимые юристы."
26.07.2017," «Татнефть» хочет потеснить крупные нефтекомпании на рынке поставок топлива силовым ведомствам. Глава Татарстана Рустам Минниханов попросил правительство добавить компанию в список единственных поставщиков Минобороны. Сейчас ведомство закупает нефтепродукты в основном у ЛУКОЙЛа, «Роснефти» и «Газпром нефти»."
24.07.2017," «» считает положительным разрешение ситуации по использованию газопровода OPAL, заявила журналистам руководитель «Газпром экспорта» Елена Бурмистрова."
18.07.2017," Российский фонд прямых инвестиций (РФПИ), владеющий привилегированными акциями «Транснефти» самостоятельно и в рамках Российско-китайского инвестиционного фонда, выступает с инициативой конвертации «префов» в обыкновенные акции, чтобы повысить привлекательность компании для инвесторов. Инициативу РФПИ поддерживает крупный держатель «префов» компании, Газпромбанк, а также НПФ «Газфонд Пенсионные накопления». В «Транснефти» говорят, что готовы обсуждать это предложение, но финальное слово — за государством, контролирующим 100% обыкновенных акций компании (78,1% капитала). В Минэнерго, курирующем нефтетранспортную компанию, тему пока не комментируют."
17.07.2017," Конфликт Альфа-банка с крупнейшей банковской ассоциацией привел к революционным последствиям. Сегодня о выходе из Ассоциации российских банков (АРБ) заявили все крупнейшие участники рынка — Сбербанк, ВТБ, ВТБ 24, РСХБ, Газпромбанк, ФК «Открытие», Бинбанк и Альфа-банк. Ключевая претензия участников АРБ — неуклонное снижение эффективности ее деятельности."
14.07.2017," Независимые производители газа после нескольких лет борьбы с «Газпромом» и тарифным регулятором добились знаковой победы. Тариф на транспорт газа для них не будет повышен, хотя оптовые цены на газ увеличились с 1 июля на 3,9%. Тем самым НОВАТЭК и «Роснефть» повышают маржинальность продаж газа, одновременно лишая «Газпром» инструмента, позволявшего монополии частично сдерживать экспансию независимых производителей на внутреннем рынке."
13.07.2017," Одно из последних крупных месторождений нефти в РФ — Эргинское — досталось «Роснефти», предложившей на аукционе за лицензию более 20 млрд руб. По данным “Ъ”, до этого рубежа основная борьба шла между «Газпром нефтью» и малоизвестным ООО «Пионергео», но обе компании не стали продолжать торги выше уровня, названного «Роснефтью». Эксперты считают, что Эргинское ушло с молотка по меркам отрасли относительно недорого — примерно по $0,4 за баррель."
12.07.2017," Аукцион на право разработки крупного Эргинского месторождения нефти выиграла «Роснефть», которая заплатит за лицензию 20,07 млрд руб.— это в 2,7 раза выше стартовой цены в 7,4 млрд руб. Конкурентами госкомпании были структуры «Газпром нефти» и малоизвестная компания «Пионергео» Сергея Неручева. Ранее на Эргинское претендовал и фонд Mubadala из ОАЭ в партнерстве с РФПИ, но иностранцев до аукциона так и не допустили."
10.07.2017," «Газпром нефть» может стать основным партнером испанской Repsol в России. Стороны будут искать новые активы для своего СП «Евротэк-Югра», где «Газпром нефть» недавно приобрела 25%. До сих пор добычные проекты у Repsol были только с ННК Эдуарда Худайнатова, причем с 2014 года особой активности испанской компании в РФ не наблюдалось, в том числе из-за санкций. Эксперты полагают, что в силу опыта организации паритетных СП «Газпром нефть» может оказаться более комфортным партнером для Repsol.
 «Газпром нефть» может стать основным партнером испанской Repsol в России. Стороны будут искать новые активы для своего СП «Евротэк-Югра», где «Газпром нефть» недавно приобрела 25%. До сих пор добычные проекты у Repsol были только с ННК Эдуарда Худайнатова, причем с 2014 года особой активности испанской компании в РФ не наблюдалось, в том числе из-за санкций. Эксперты полагают, что в силу опыта организации паритетных СП «Газпром нефть» может оказаться более комфортным партнером для Repsol."
07.07.2017," Как выяснил “Ъ”, энергокомпания ОГК-2 «Газпром энергохолдинга» (ГЭХ) хочет после 2021 года закрыть почти все мощности Новочеркасской и Ставропольской ГРЭС. В ОГК-2 объясняют это проблемами с поставщиками угля и конкуренцией с новой генерацией, из-за чего ГРЭС генерируют убытки. Но пока из-за высокого спроса в Объединенной энергосистеме (ОЭС) Юга «Системный оператор» запретил ГЭХ выводить мощности."
06.07.2017," «Газпром-медиа» учредил американскую компанию Storyworld Entertainment, которую возглавил бывший гендиректор ТНТ Роман Петренко. Storyworld Entertainment будет заниматься реализацией телевизионных форматов ТНТ на рынке США.
 За последний месяц «Газпром» без громких заявлений подписал с Болгарией, Сербией и Венгрией «дорожные карты» по развитию газопроводов для поставок газа из будущей второй нитки «Турецкого потока». Тем самым компания фактически реанимирует отмененный в 2013 году по настоянию Еврокомиссии проект South Stream, но со вчетверо меньшей мощностью. Хотя такой вариант позволяет «Газпрому» обеспечить газом Балканы, он, видимо, будет конкурировать с другим маршрутом монополии по доставке газа в Южную Италию, газопроводом Poseidon — по мнению экспертов, после провала South Stream компания не очень доверяет Болгарии."
05.07.2017," «Газпром» собирается начать поставки газа в Китай по «Силе Сибири» в конце 2019 года — минимум на год раньше запуска Амурского ГПЗ. Это означает, что первый газ для КНР не будет очищен от гелия и этана до товарного состояния. По мнению аналитиков и источников “Ъ”, Китаю, который исходно хотел сам перерабатывать российский газ, такой вариант даже выгоднее."
04.07.2017," Минприроды готово с 2020 года предоставить льготы по утилизации попутного нефтяного газа (ПНГ) для нефтяников, работающих в труднодоступных районах, главным образом на шельфе Арктики. Сейчас компании под угрозой штрафов могут сжигать не более 5% ПНГ. В итоге главным выгодоприобретателем льгот могут стать «Роснефть» и «Газпром»."
03.07.2017," «Газпром» счел «недостаточной» аргументацию Стокгольмского арбитража по спору с «Нафтогазом Украины», хотя сальдо взаимных требований и будет положительным для российской компании. Теперь российская монополия оспорит это решение в шведском суде. По мнению юристов, «Газпром» может пытаться доказать, что арбитры вышли за пределы полномочий. Другой целью «Газпрома» может стать давление на «Нафтогаз», с которым сейчас идут переговоры о том, как именно на практике применять принципы, изложенные в предварительном решении."
30.06.2017," «Газпром» будет оспаривать промежуточное решение Стокгольмского арбитража по спору с «Нафтогазом Украины» по контракту на поставку газа в апелляционном суде Швеции, заявил глава компании Алексей Миллер. По его словам, аргументация арбитров по ряду аспектов дела «является недостаточной». Он также заявил, что решение арбитража означает взыскание с «Нафтогаза» около $1,7 млрд в пользу «Газпрома». “Ъ” оценивал сумму взысканий в $1 млрд.
 Стокгольмский арбитраж постановил взыскать с «Нафтогаза» в пользу «Газпрома» более $1,7 млрд. Об этом рассказал предправления российского концерна Алексей Миллер. По его словам, «Газпром» будет обжаловать данное решение суда в апелляционной инстанции, передает ТАСС.
 Гендиректор субхолдинга «Газпром-медиа Развлекательное ТВ» (ГПМ РТВ) Артур Джанибекян рассказал “Ъ” о развитии контента и о том, что нужно для удержания зрителя."
28.06.2017," « завершает выход из компании Promak, которой принадлежит по 60% в двух импортерах российского газа в Турцию — Enerco и Avrasya. Также «Газпром» собирается продать и контрольную долю в турецкой Bosphorus gaz."
23.06.2017," «» дал дополнительные 12 млн куб. м газа в сутки в систему магистральных газопроводов ООО «Газпром трансгаз Сургут» из Восточной Сибири из-за сниженного потребления топлива, говорится в корпоративном издании сургутской «дочки» корпорации."
22.06.2017," «Газпром» в 2017 году рассчитывает на рост свободного денежного потока за счет увеличения объемов реализации газа и средней цены продаж. При этом компания планирует сохранить инвестпрограмму в следующем году примерно на текущем уровне. «Газпром» также актуализировал оценку стоимости «Турецкого потока», которая может составить $6 млрд.
 НОВАТЭК впервые на российском газовом рынке предложил некоторым своим клиентам биржевую индексацию на часть объемов газа, поставляемого по текущим контрактам. Так компания хочет предотвратить отток своих клиентов за более дешевым газом на биржу, цены которой официально НОВАТЭК всегда называл непрозрачным индикатором. Сейчас «Газпром», связанный ценовым регулированием, использует биржу для борьбы за внутренних потребителей."
