,body,topic
6,"Во влажных тропических лесах Центральной и Южной Америки проживает красивое пятнистое животное из семейства кошачьих – ягуар. Мех у животного густой, окрас варьируется от светло-жёлтого до огненно-рыжего. Тело покрыто чёрными пятнами в виде колец, в середине которых расположена точка — тоже чёрного цвета. Грудь и живот — полосатые. Лапы мощные, большие, в чёрную крапинку.
",животное
7,"Ягуары — крупнейшие хищники Южной Америки. Эти огромные кошки живут поодиночке, иногда парами или маленькими семьями. Они обходят территорию в 8—30 км2.В мировой классификации они занимают третье место среди кошачьих, уступая в весе только львам и тиграм. 
",животное
8,"Ягуар, млекопитающее семейства кошачьих. Свое название он получил от индейцев гуарани, которые называют его «ягуаретте», то есть «собачье тело». Во всей его фигуре выражается больше силы, чем ловкости, так что он кажется даже несколько тяжеловатым на ходу. Туловище ягуара не так длинно, как у леопарда или тигра, и конечности, сравнительно с телом, короче, чем у этих кошек. Вполне взрослый ягуар имеет около 145 сантиметров общей длины , из них 68 сантиметров приходится на хвост. Мех его густой, короткий, блестящий и мягкий; на горле, нижней части шеи, груди и животе длиннее, чем на остальном теле. У большей особей шерсть красновато-желтая, за исключением внутренности уха, нижней части «лица», челюстей, горла и вообще нижней части тела и внутренней стороны ног, где преобладает белый цвет. Весь мех покрыт частью небольшими черными круглыми или продолговатыми неправильными пятнами, частью большими пятнами или кольцами, которые окаймлены желтовато-красными или черными полосками и имеют посредине одно или два черных пятна. Обитает главным образом в тропических и субтропических лесах Америки.
",животное
9,"Большие, грациозные кошки ягуары обитают исключительно на территории Америки. В США, Уругвае и Сальвадоре эти хитрые, коварные хищники практически полностью были истреблены скотоводами, опасающимися за свои стада и охотниками за их ценным мехом.
",животное
10,"Jaguar (напиток) Jaguar Слабоалкогольный газированный энергетический напиток Алюминиевая банка напитка 0,33 л, 9 % Алюминиевая банка напитка 0,33 л, 9 % Основатель:	IBB Ltd. Крепость:	5,5-9 Состояние:	выпускается Период:	c 16 марта[источник не указан 699 дней] 2003 года Тип:	Слабоалкогольный газированный энергетический напиток Сайт:	jaguar-drink.com Jaguar (рус. Ягуар, сленг. Яга) — слабоалкогольный газированный энергетический напиток с содержанием (по объёму) этилового спирта 7 % (ранее выпускался также с 9 % и 5,5 %). Выпускается в России с 2003 года компанией Happyland. Эксклюзивные права на производство и реализацию принадлежат зарегистрированной в Великобритании компании «IBB Ltd.» Состав Состав (в порядке убывания массы компонентов): вода, сахар, спирт этиловый, лимонная кислота, экстракт из листьев мате, таурин, кофеин, красители: карамель, антоцианин, кармин, натуральный ароматизатор Терпкость, различные витамины . 100 мл напитка содержат: углеводы 11,5 г кофеин 30 мг таурин 40 мг витамины B1, B6 и PP ≈ 0,11 мг Энергетическая ценность — 100,4 ккал. Производство В России Ягуар разливается на четырёх заводах:[источник не указан 807 дней] ООО «Юнайтед Ботлинг Групп» 170039, г. Тверь ООО «Мегапак» 142700, Московская обл., Ленинский р-н, г. Видное ЗАО «ОСТ-Аква» 142432, Московская обл., Ногинский р-н, г. Черноголовка ООО «Артисан» 353240, Краснодарский край, Северский р-н, станица Северская В марте 2007 года был начат выпуск напитка Jaguar Light с пониженным содержанием алкоголя — 5,5 %, и отсутствием таурина в составе. Банка с этим напитком имела белый цвет, в противоположность тёмному цвету у классического напитка. Позднее Jaguar Light был заменён на другой напиток - Jaguar Ultra Light, с содержанием алкоголя 7% и пониженным содержанием калорий. В августе 2010 года на Украине напиток начал экспортироваться под брендом Jaguaro крепостью в 7 %. Цвет банки соответствует оригинальному, с несколько изменёнными пропорциями. В 2011 году напитки крепостью в 7 % появились и в России, и постепенно заменили собой девятиградусные (однако к десятилетию торговой марки был также осуществлн выпуск и оригинального девятиградусного напитка ограниченным тиражом). В 2011 году был начат выпуск нового напитка Jaguar Gold, с тем же объёмным содержанием этанола в 7%, однако обладающий цитрусовым вкусом и содержащим апельсиновый сок с объёмной долей в 10%. Отражение в искусстве Рэпер Сява посвятил этому напитку песню «Ягуар». Noize MC написал песню на мотив Word Up! и выступил с ней на фестивале «Jaga Fest», который проходил в поддержку напитка. В песне «Ягуар» сравнивался с героином.�носит колоссальный вред сердцу, повышается артериальное давление, увеличивается пульс. Сердце начинает работать на износ. Сердце делает в среднем на 10000 – 15000 лишних сокращений. Печень – напиток ягуар серьёзно вредит печени, так как печень вынуждена перерабатывать не только алкоголь, но и всю эту химию. Постепенно энергетические запасы печени значительно снижаются.  Не редки случаи и аллергических реакций – в напитке ягуар собрано большое количество разнообразных химических веществ, любое из этих веществ может вызвать анафилактический шок, смерть от которого практически моментальная, если рядом не будет специализированной бригады. Такие случаи имеют место быть. Вред напитка ягуарСредний возраст потребителей данных напитков: 12-16 лет. Данные напитки способствуют раннему, регулярному потреблению алкоголя, что приводит к развитию детского и юношеского алкоголизма. Производители данных напитков многое не договаривают, они ограничиваются надписью, что не рекомендуется выпивать более 1 банки в день, а так же больным и беременным. Однако подростки не ограничиваются 1-ой банкой ягуара, в среднем они потребляют по 2-3, а на дискотеках и 8-10 банок за ночь не редкость. Вред напитка ягуар и ему подобных очевиден. Главный санитарный врач Г. Онищенко так же обеспокоен тем, что возрос процент раннего регулярного потребления алкоголя. Вопрос о запрещении подобных напитков уже поднимался в думе, но очень серьёзно мешает алкогольное лобби (со слов Г.Онищенко). Здравомыслящих людей в думе очень мало, в основном там сидят люди, которые решают вопросы бизнеса, а не обычных граждан. А для нас с Вами они красиво выступают по телевиденью и обзывают своих «конкурентов» - ПАДОНКАМИ. Что же решается за закрытыми дверями, какие вопросы там ставятся, и как голосуют «наши» избранные слуги народа – нам не известно. Нет закона, дающего право узнать гражданину, как голосует избранный народом депутат. Единственный кто может это сделать – это сам депутат после соответствующего запроса. Мы живем в неведении какие законы принимаются.  Что мы можем сделать? Это активная жизненная позиция по данным вопросам, нужно помочь нормальным чиновникам запретить данные напитки. Осознать вред напитков типа ягуар и вести пропаганду. Активные разъяснительные беседы с подрастающими гражданами нашей Родины. Искоренить в себе безучастность к проблемам Родины!!! ЗАПОМНИТЕ: Энергетические напитки – энергию не содержат, они не дают энергию человеку, как многие так считают, они мобилизуют трату собственной энергии, которую организм накопил. Так люди себя только истощают!!!
",напиток
11,"Слабоалкогольный напиток «ягуар» – самый популярный напиток среди молодежи, проходя мимо парков, сквериков и пр. часто замечаю, как много школьников и молодых людей пьют этот напиток. Ягуар очень полюбили и девушки. Давайте разберемся, что из себя представляет этот напиток и есть ли вред от ягуара. В напитке ягуар содержится 9% спирта, что равно 50 гр. водки. Мнения ученых и врачей: если человек потребляет 2 банки напитка ягуар в неделю, то его уже можно считать алкоголиком. Так же в напитке ягуар содержится кофеин (300 мг\л), это значит что одна банка напитка ягуар содержит 4 чашки крепкого кофе. Кто-то из Вас пил когда ни будь 4 чашки крепкого кофе за раз? Не каждый взрослый человек может себе такое позволить! А как это губительно для растущего организма? А ведь молодые люди не ограничиваются одной банкой напитка ягуар! Кроме того в напитке ягуар содержатся: красители, ароматизаторы, подсластители, консерванты, такой адский состав подобрали для того чтобы напиток нравился подросткам, не каждый подросток может выпить 50 гр. водки. А если водку сделать вкусной? При опросе подростков, какой напиток они предпочитают больше всего? Большинство отвечают, что напиток ягуар. Отмечают, что он вкусный и от него быстро пьянеют. Вред напитка ягуар не только в том, что он содержит спирт и так губительный для молодого организма, но вред ягуара еще и в красителях. Бензоат натрия (Е 211) – по последним данным вызывает изменения ДНК (как вариант генного оружия направленный на наше будущее), может стать причиной рака и болезни Паркинсона. Краситель «красный очаровательный» (Е 129) – по мнению ученых, канцероген (способен вызывать рак), он запрещен в 9 странах Европы. Углекислота – тоже используется как консервант, способствует более быстрому всасыванию всех компонентов напитка ягуар. Кофеин – мобилизует организм на трату энергии, вызывает привыкание. Спросите людей, которые любят кофе, некоторые из них и не отрицают, что не могут без него. Напиток ягуар вредит: желудку – компоненты напитка ягуар раздражают слизистую желудка и 12 перстной кишки, что приводит к гастриту, а затем и к язве желудка. Значительно повышается РН желудка, что так же ведет к образованию язв. поджелудочной железе – ягуар вредит и ей, сам по себе алкоголь отрицательно сказывается на поджелудочной железе, а вместе с этой адской смесью вдвойне. Смертельные случаи уже были, особенно опасно на голодной желудок пить ягуар, развивается панкреонекроз.  Сердечнососудистая система – напиток ягуар наносит колоссальный вред сердцу, повышается артериальное давление, увеличивается пульс. Сердце начинает работать на износ. Сердце делает в среднем на 10000 – 15000 лишних сокращений. Печень – напиток ягуар серьёзно вредит печени, так как печень вынуждена перерабатывать не только алкоголь, но и всю эту химию. Постепенно энергетические запасы печени значительно снижаются.  Не редки случаи и аллергических реакций – в напитке ягуар собрано большое количество разнообразных химических веществ, любое из этих веществ может вызвать анафилактический шок, смерть от которого практически моментальная, если рядом не будет специализированной бригады. Такие случаи имеют место быть. Вред напитка ягуарСредний возраст потребителей данных напитков: 12-16 лет. Данные напитки способствуют раннему, регулярному потреблению алкоголя, что приводит к развитию детского и юношеского алкоголизма. Производители данных напитков многое не договаривают, они ограничиваются надписью, что не рекомендуется выпивать более 1 банки в день, а так же больным и беременным. Однако подростки не ограничиваются 1-ой банкой ягуара, в среднем они потребляют по 2-3, а на дискотеках и 8-10 банок за ночь не редкость. Вред напитка ягуар и ему подобных очевиден. Главный санитарный врач Г. Онищенко так же обеспокоен тем, что возрос процент раннего регулярного потребления алкоголя. Вопрос о запрещении подобных напитков уже поднимался в думе, но очень серьёзно мешает алкогольное лобби (со слов Г.Онищенко). Здравомыслящих людей в думе очень мало, в основном там сидят люди, которые решают вопросы бизнеса, а не обычных граждан. А для нас с Вами они красиво выступают по телевиденью и обзывают своих «конкурентов» - ПАДОНКАМИ. Что же решается за закрытыми дверями, какие вопросы там ставятся, и как голосуют «наши» избранные слуги народа – нам не известно. Нет закона, дающего право узнать гражданину, как голосует избранный народом депутат. Единственный кто может это сделать – это сам депутат после соответствующего запроса. Мы живем в неведении какие законы принимаются.  Что мы можем сделать? Это активная жизненная позиция по данным вопросам, нужно помочь нормальным чиновникам запретить данные напитки. Осознать вред напитков типа ягуар и вести пропаганду. Активные разъяснительные беседы с подрастающими гражданами нашей Родины. Искоренить в себе безучастность к проблемам Родины!!! ЗАПОМНИТЕ: Энергетические напитки – энергию не содержат, они не дают энергию человеку, как многие так считают, они мобилизуют трату собственной энергии, которую организм накопил. Так люди себя только истощают!!! 
",напиток
12,"Jaguar - один из популярнейших в мире энергетических напитков, появившийся в начале 2000-х годов и стремительно занявший лидирующие позиции в списке подобных. Мгновенно завоевав Европу, в 2003 году энергетические и слабоалкогольные напитки под брендом Jaguar приобрели всеобщую любовь и у отечественных потребителей. Вначале напиток Jaguar был доступен лишь завсегдатаям клубных вечеринок в качестве эксклюзивного коктейля. Чуть позже выпуск энергетиков был поставлен на производственный поток и все поклонники напитка получили возможность приобретать слабоалкогольную продукцию этого вида в обычных магазинах. В настоящее время согласно данным продаж напиток Jaguar занимает ведущую позицию в списке слабоалкогольных энергетических напитков не только в нашей стране, но и еще в 10-ти крупных государствах мира. Наибольшее распространение в России напиток Jaguar получил в 2006 году. Первоначально его крепость достигала отметки 9%, а через год на прилавках магазинов появился Jaguar Light отличающийся меньшим содержанием алкоголя – 5.5%. Реализовывался напиток в темно-синих жестяных банках с интересным дизайном. Несколько лет спустя, а точнее в 2011 году бренд порадовал своих поклонников появлением еще одной новинки от Jaguar. Слабоалкогольный энергетик Jaguar Gold в стильных черных банках с золотым рисунком содержал в своем составе не более 7% алкоголя и натуральный апельсиновый сок. Как говорят производители напитка, главный секрет популярности энергетика кроется в его сбалансированном составе. В него входят компоненты, отличающиеся высоким качеством, а количество алкоголя подобрано просто идеально. Оригинальный, непохожий на другие вкус и стильно оформленная тара также играют не последнюю роль. Несмотря на все это, напиток Jaguar, как впрочем, и другие слабоалкогольные и энергетические напитки, имеет свою отрицательную сторону. И проявляется она, в первую очередь, в негативном воздействии на здоровье человека при регулярном употреблении напитка, особенно в неумеренных количествах. Тем фактом, что напиток Jaguar является горячо любимым в кругу молодых людей, крайне обеспокоены медики. Ведь энергетик не только снимает усталость и повышает настроение, но и крайне негативно сказывается на работе желудочно-кишечного тракта, а также способен вызвать алкогольную зависимость. К тому же смешение релаксантов и стимуляторов в одном коктейле может привести к проблемам, связанным с нервной системой. Состав и вред напитка. Состав напитка Jaguar не отличается особыми изысками. Помимо воды в него входит этиловый спирт, сахар, кислота лимонная, а также кофеин, таурин, консервант Е211, краситель Е129 и набор витаминов. Несмотря на то, что пищевой краситель Е129 является достаточно сомнительной добавкой, запрещенной в ряде европейских стран, он активно применяется производителями не только для изготовления энергетических и других слабоалкогольных напитков, но и является компонентом разнообразных лекарственных препаратов, косметических средств и кондитерских изделий. Употребление же этой добавки может привести к аллергическим реакциям и даже способствовать возникновению раковых опухолей. Еще меньшую пользу для организма человека несет так называемый бензоат натрия или пищевой консервант Е211. В ходе ряда исследований было установлено, что это соединение может вызывать необратимые поражения печени, а кроме того стать причиной неизлечимой на сегодняшний день болезни Паркинсона. К букету неблагоприятных последствий присоединяется еще более страшное предположение. Ученые пришли к выводам, что консервант Е211 имеет крайне негативное воздействие на ДНК человека, повреждая его. Ко всему вышеперечисленному добавляется не самое удачное сочетание в одном напитке алкоголя и кофеина. Неумеренное потребление этих веществ даже по отдельности очень часто приводит к проблемам со здоровьем. А употребление гремучей смеси, под названием напиток Jaguar во время сильных эмоциональных или физических нагрузок вообще может повлечь за собой летальный исход.",напиток
13,"Яга- это легенда)) Как в свое время легендой был ""виноградный день"" и ""три топора"", с помощью которого замешивался коктейль, известный в маргинальных панк-кругах, под названием ""мишки гамми"". Ягуар, как и все дешевое сивушное бухлище, стал мгновенно приравнен к атрибуту заМКАДышей, с маленьким материальным достатком и потребностями низшей ступени пирамиды Маслоу. Однако, давайте не будем снобами, не будем кричать, что яга - это сплошная химия, русских спаивают, детей от яги надо защитить.. Во-первых, ягуар, это хоть и вредно, никто не спорит... но не вреднее, чем другие алкогольные коктейли и напитки. Алкоголь, это вообще, яд, уж сколько ученых-биохимиков доказывало, что человеческий организм воспринимает алкоголь как яд и отторгает его! Нет же, все равно, обывательское мнение такого: дорогое хорошее вино имеет большую ценность для организма, нежели дешевый алкоголь. Я сейчас не говорю про паленую водку, это немного из другой категории Smile Ломайте обывательские стереотипы! Не поддавайтесь всеобщему ажиотажу порицать, не ПОНИМАЯ сути.. Хватит уже писать про ГЕНОЦИД НАЦИИ - РУССКИХ УБИВАЮТ, ПЛАН ДАЛЛАСА И Т.Д.! Это определяет Вас как личность, которая начитавшись интернет-агиток, свято верит в кем-то придуманную ересь... Во-вторых, ""химии"", как тут выражаются, полно в других продуктах, которыми вы пользуетесь КАЖДЫЙ ДЕНЬ...посмотрите на ваши шампуни, пены для бритья, гели для душа, вашу косметику... Вся эта гадость проникает Вам в поры, а, в следствии, попадает Вам в кровь, вы сплошь пропитаны этой химией! Вы каждый день моете посуду средствами для мытья, не используя перчатки, и причиняете своему здоровью большей вред, чем при употреблении банки Ягуара. Откройте глаза и перестаньте быть такими внушаемыми, не понимая сути вещей.",напиток
14,"Напиток ягуар, алкогольный энергетик. Напиток ягуар (Jaguar) начал появляться на рынке в двухтысячном году. Наряду с Европой в нашей стране стали популярны коктейли из алкогольных и энергетических напитков. И «ягуар» прочно занял свое место в этом бизнесе. Он быстро обрел популярность сначала на клубных вечеринках, а позже и на простых «тусовках». Сейчас напиток ягуар занимает первое место по продажам слабоалкогольных напитков в России (а так же занимает первые места еще в десяти странах). Свое «восхождение» в России он начал в 2006 году и крепость его была 9%, а уже в 2007 году был выпущен в продажу менее алкогольный напиток ягуар крепостью 5,5% (JaguarLight). Он был в темно синей бутылке со стильным дизайном. В 2011 году поклонники этого напитка получили еще одну новинку. Это был JaguarGold в черной банке с элементами золота. Этот напиток ягуар содержал 7% алкоголя и в его состав входил натуральный апельсиновый сок. Со слов производителя напитка ягуар: «секрет популярности Jaguar в том, что в его сбалансированный состав входят высококачественные ингредиенты, гармоничное содержание алкоголя и стильный дизайн». «Другая сторона медали»: отрицательное влияние напитка ягуар на организм. Наши врачи последнее время сильно обеспокоены тем, что напиток ягуар пользуется такой популярностью у молодых людей. Этот напиток вызывает алкогольную зависимость и проблемы с пищеварительной системой значительно сильнее (и быстрее), чем другие алкогольные напитки. Происходит это из-за того что стимуляторы и релаксанты смешиваются и подаются вместе в одном напитке. После употребления коктейля ягуар в течении нескольких месяцев уже появляется алкогольная зависимость, а так же панкреатит и значительное ослабление организма. Последнее время в Европе начинают строго следить за продажей алкогольных энергетических напитков. Давайте рассмотрим, что входит в состав напитка ягуар: вода, этиловый спирт, сахар, лимонная кислота, таурин, кофеин, краситель Е129, консервант Е211, витамины. Некоторые составляющие стоит рассмотреть отдельно: Краситель Е129. Этот краситель применяется в лекарствах, косметических средствах, некоторых кондитерских изделиях. Это не смотря на то, что он запрещен в девяти странах Европы. Людям, у которых аллергия на аспирин категорически запрещено принимать продукты, в которых содержится Е129. Он вызывает аллергию и может стать причиной возникновения рака; Консервант Е211. Бензоат Натрия может быть причиной возникновения цирроза печени и болезнью Паркинсона. Так же существует предположение, что этот консервант вызывает повреждение ДНК; И отдельно стоит упомянуть сочетание алкоголя и кофеина в одном напитке. По отдельности они не столь сильно влияют на организм. При больших нагрузках это сочетание может стать причиной летального исхода. Чрезмерное употребление алкоголя вредит вашему здоровью! 18+",напиток
15,"Слабоалкогольный энергетический напиток «Ягуар» (Jaguar) относится к серии коктейлей в баночках, армия которых в последние годы буквально заполонила наши магазины, супермаркеты и другие торговые точки. Данный напиток продаётся практически в любом киоске, и купить его может даже ребёнок. Если брать общую статистику, то жители нашей страны только за один год употребляют десятки миллионов литров таких напитков: именно слабоалкогольных энергетиков – 37 млн., тогда как безалкогольных видов – всего 6 млн.
",напиток
16,"Напиток ягуар (Jaguar) начал появляться на рынке в двухтысячном году. Наряду с Европой в нашей стране стали популярны коктейли из алкогольных и энергетических напитков. И «ягуар» прочно занял свое место в этом бизнесе. Он быстро обрел популярность сначала на клубных вечеринках, а позже и на простых «тусовках».
",напиток
17,"Энергетические и алкогольные напитки по праву считаются «бичем» нашего времени. В нашу страну они были завезены в 90-х годах и стали настолько популярны, что их производство расширилось до немыслимых масштабов. Изначально это были баночные напитки, которые вследствие перешли на стеклянную тару. Но при этом интерес к баночным напиткам, как и к жестяным банкам, вовсе не пропал, а только усилился. Более того, банки не потеряли своей популярности даже после многочисленных сообщений в СМИ о вреде алкоголя и о том, насколько пагубно эти банки влияют на качество самого продукта. 
",напиток
18,"Слоган рекламной кампании «Jaguar — дикая энергия!» подчеркивает основные свойства продукта. Энергетический напиток Jaguar разработан на основе экстракта из листьев чая матэ. Это растение, известное еще со времен индейцев, содержит тонизирующее вещество, сходное по своему воздействию с кофеином. Однако матэ воздействует более мягко, не оставляя побочных эффектов. Экстракт матэ заряжает энергией, улучшает пищеварение, нормализует давление и на длительное время повышает тонус. Поэтому безалкогольный энергетик Jaguar особенно рекомендуется автомобилистам и спортсменам. Помимо снятия мышечной усталости, он подавляет чувство голода и активизирует деятельность мозга.
",напиток
19,"Jaguar (русск. Ягуар) — алкогольный газированный напиток с содержанием (по объёму) этилового спирта 9 % или 5,5 %. Выпускается в России с 2003 года торговой маркой «Happyland». Эксклюзивные права на производство и реализацию принадлежат компании «IBB Ltd.» Великобритания.
",напиток
20,"Британская автомобилестроительная компания Jaguar Cars производит легковые автомобили Jaguar класса люкс. Штаб-квартира бренда расположена в городе Ковентри. Сейчас английская марка находится под влиянием индийской компании Tata Motors и входит в состав группы Jaguar Land Rover. Этой группе принадлежит один завод в Индии и три – в Великобритании. В будущем планируется старт новых производств в Саудовской Аравии и Китае. История английской марки берёт начало в 20-х годах XX столетия. Изначально компания, основанная Уильямом Лайонсом, занималась производством колясок для мотоциклов, что не приносило ощутимой прибыли и привело к переориентации деятельности: фирма начала изготовлять комплектующие для Austin 7, FIAT 509A, Morris Cowley,Wolseley Homet и проектировать собственные модели. В 1950 году компания Jaguar стала сотрудничать с автомобилестроительным концерном Daimler Motor Company (не с Daimler-Benz), а спустя ещё десять лет – поглотила Daimler. С середины 60-х легковые автомобили Ягуар стали набирать популярность на мировом авторынке, чему поспособствовало вхождение в состав British Motor в 1966 году. В Америке большую популярность обрели модели Jaguar XK150 и XK150 Roadster с 3.4-литровым двигателем. Спорткары и седаны Jaguar 60-х продавались по очень высокой цене, которая полностью оправдывала высокое качество исполнения. Широкую известность в 70-80-х годах получили седаны Jaguar XJ8 и купе Jaguar XJ-S. Общественный резонанс вызвала модель Jaguar XJ220 1988 года, представленная на Токийской автомобильной выставке. Созданная Клиффом Рюделлом и доработанная Кейтом Хелфетом, эта легендарная машина была выпущена лимитированным тиражом в 280 экземпляров. В настоящее время о таком «Ягуаре» мечтают многие коллекционеры. В конце 80-х британская компания открыла филиал по разработке спортивных прототипов на базе серийных автомобилей Jaguar семейства XJ 220 и вошла в состав американского концерна Ford. В 90-х разрабатывался новый модельный ряд Jaguar. Начало нового тысячелетия ознаменовалось участием британской марки в гоночных состязаниях Формулы-1 в качестве команды «Ягуар». На спортивные болиды этой команды устанавливаются двигатели Cosworth. Среди моделей, принимающих участие в гонках – F-Type Concept и Silverstone. Модельный ряд Jaguar радует своими потрясающими разработками, которые сочетают в себе роскошь салона, безупречное качество кузовного исполнения, стильный дизайн и мощь двигателя. Успешных предпринимателей привлекает бизнес-класс: Jaguar XF и Jaguar XFR. Высокий статус владельца способны подчеркнуть седаны представительского класса XJ. Вариант для «золотой молодёжи» - спортивные купе (Jaguar XK), дерзкие родстеры и кабриолеты (Jaguar F-Type). Стоимость «Ягуара» варьируется от двух до восьми миллионов. Одной из наиболее дорогих моделей в линейке британского бренда считается Jaguar XJ. Седан представительского класса с двигателями различной степени форсировки (240, 275, 340 и 510 лошадиных сил) имеется как в дизельной, так и в бензиновой версиях. Технические характеристики Jaguar вы можете посмотреть в нашем каталоге.",машина
